,Player ID,Player,Total Runs Scored,Batting Avg,Batting Strike Rate,Total Centuries,Total Half Centuries,4s,6s,Total Wickets Taken,Best Bowling Figures,Bowling Avg,Best Economy Rate,Bowling Strike Rate,Total Matches Played,Total Dismissals Made,Total Catches Taken,Total Stumpings Made,Batting Hand,Bowling Arm,Bowling Style
22,22,KM Jadhav,1389,42.09,101.6,2,6,141,24,27,3/23,37.77,5.15,43.9,73.0,33.0,33.0,0.0,Right Hand,Right Arm,Spin Bowler
23,23,D Mongia,1230,27.95,71.47,1,4,122,8,14,3/31,40.78,5.35,45.7,57.0,21.0,21.0,0.0,Left Hand,Left Arm,Spin Bowler
24,24,Harbhajan Singh,1204,13.68,81.18,0,0,89,34,247,5/31,33.93,4.3,47.2,221.0,69.0,69.0,0.0,Right Hand,Right Arm,Spin Bowler
25,25,AB Agarkar,1049,14.98,81.44,0,3,85,18,215,6/42,28.33,5.0,33.9,150.0,38.0,38.0,0.0,Right Hand,Right Arm,Pace Bowler
26,26,RV Uthappa,934,25.94,90.59,0,6,107,19,0,-,-,0.00,-,46.0,21.0,19.0,2.0,Right Hand,Right Arm,Pace Bowler
27,27,Ishan Kishan,933,42.4,102.19,1,7,95,33,-,-,-,-,-,27.0,15.0,13.0,2.0,Left Hand,Unknown Arm,Mixed
28,28,HK Badani,867,33.34,73.47,1,4,68,10,3,1/7,49.66,4.88,61.0,40.0,13.0,13.0,0.0,Left Hand,Left Arm,Spin Bowler
29,29,RR Pant,865,34.6,106.65,1,5,90,26,-,-,-,-,-,30.0,27.0,26.0,1.0,Left Hand,Unknown Arm,Mixed
30,30,YK Pathan,810,27.0,113.6,2,3,62,43,33,3/49,41.36,5.49,45.1,57.0,17.0,17.0,0.0,Right Hand,Right Arm,Spin Bowler
31,31,SA Yadav,773,25.76,105.02,0,4,80,19,0,-,-,8.50,-,37.0,17.0,17.0,0.0,Right Hand,Right Arm,Mixed
32,32,Z Khan,753,11.58,72.33,0,0,65,24,269,5/42,30.11,4.95,36.4,194.0,43.0,43.0,0.0,Right Hand,Left Arm,Pace Bowler
